states,year,quarter,brand,user_counts,percentage
andaman-&-nicobar-islands,2018,1,Xiaomi,1665,0.247032640949554
andaman-&-nicobar-islands,2018,1,Samsung,1445,0.214391691394658
andaman-&-nicobar-islands,2018,1,Vivo,982,0.145697329376854
andaman-&-nicobar-islands,2018,1,Oppo,501,0.074332344213649
andaman-&-nicobar-islands,2018,1,OnePlus,332,0.049258160237388
andaman-&-nicobar-islands,2018,1,Realme,316,0.046884272997032
andaman-&-nicobar-islands,2018,1,Apple,229,0.033976261127596
andaman-&-nicobar-islands,2018,1,Motorola,226,0.033531157270029
andaman-&-nicobar-islands,2018,1,Lenovo,202,0.029970326409495
andaman-&-nicobar-islands,2018,1,Huawei,158,0.023442136498516
andaman-&-nicobar-islands,2018,1,Others,684,0.101483679525222
andaman-&-nicobar-islands,2018,2,Xiaomi,2303,0.244869750132908
andaman-&-nicobar-islands,2018,2,Samsung,1923,0.204465709728867
andaman-&-nicobar-islands,2018,2,Vivo,1523,0.161935140882509
andaman-&-nicobar-islands,2018,2,Oppo,708,0.075279106858054
andaman-&-nicobar-islands,2018,2,OnePlus,466,0.049548112706007
andaman-&-nicobar-islands,2018,2,Realme,465,0.049441786283891
andaman-&-nicobar-islands,2018,2,Motorola,319,0.03391812865497
andaman-&-nicobar-islands,2018,2,Apple,308,0.032748538011695
andaman-&-nicobar-islands,2018,2,Lenovo,244,0.025943646996278
andaman-&-nicobar-islands,2018,2,Huawei,230,0.024455077086656
andaman-&-nicobar-islands,2018,2,Others,916,0.09739500265816
andaman-&-nicobar-islands,2018,3,Xiaomi,2950,0.242818338957938
andaman-&-nicobar-islands,2018,3,Samsung,2409,0.198287924932093
andaman-&-nicobar-islands,2018,3,Vivo,2063,0.169808214667873
andaman-&-nicobar-islands,2018,3,Oppo,988,0.081323565725574
andaman-&-nicobar-islands,2018,3,OnePlus,617,0.050786072927812
andaman-&-nicobar-islands,2018,3,Realme,603,0.049633714709029
andaman-&-nicobar-islands,2018,3,Motorola,390,0.032101407523252
andaman-&-nicobar-islands,2018,3,Apple,371,0.030537492797761
andaman-&-nicobar-islands,2018,3,Huawei,314,0.025845748621285
andaman-&-nicobar-islands,2018,3,Lenovo,299,0.02461107910116
andaman-&-nicobar-islands,2018,3,Others,1145,0.094246440036216
andaman-&-nicobar-islands,2018,4,Xiaomi,3719,0.244317435291026
andaman-&-nicobar-islands,2018,4,Samsung,2936,0.192878728156615
andaman-&-nicobar-islands,2018,4,Vivo,2742,0.180134016554986
andaman-&-nicobar-islands,2018,4,Oppo,1268,0.083300486138483
andaman-&-nicobar-islands,2018,4,Realme,760,0.04992773617133
andaman-&-nicobar-islands,2018,4,OnePlus,721,0.047365654973065
andaman-&-nicobar-islands,2018,4,Motorola,474,0.031139140717382
andaman-&-nicobar-islands,2018,4,Apple,455,0.029890947313099
andaman-&-nicobar-islands,2018,4,Huawei,398,0.026146367100249
andaman-&-nicobar-islands,2018,4,Lenovo,377,0.024766784916568
andaman-&-nicobar-islands,2018,4,Others,1372,0.090132702667192
andaman-&-nicobar-islands,2019,1,Xiaomi,4576,0.246074424607442
andaman-&-nicobar-islands,2019,1,Samsung,3567,0.191815444181544
andaman-&-nicobar-islands,2019,1,Vivo,3420,0.183910518391051
andaman-&-nicobar-islands,2019,1,Oppo,1600,0.086040008604
andaman-&-nicobar-islands,2019,1,Realme,897,0.048236179823617
andaman-&-nicobar-islands,2019,1,OnePlus,855,0.045977629597762
andaman-&-nicobar-islands,2019,1,Motorola,561,0.030167778016777
andaman-&-nicobar-islands,2019,1,Apple,515,0.027694127769412
andaman-&-nicobar-islands,2019,1,Huawei,515,0.027694127769412
andaman-&-nicobar-islands,2019,1,Lenovo,426,0.022908152290815
andaman-&-nicobar-islands,2019,1,Others,1664,0.08948160894816
andaman-&-nicobar-islands,2019,2,Xiaomi,5296,0.24370714647278
andaman-&-nicobar-islands,2019,2,Samsung,4165,0.191661681468869
andaman-&-nicobar-islands,2019,2,Vivo,4102,0.188762597211357
andaman-&-nicobar-islands,2019,2,Oppo,1905,0.087662785881919
andaman-&-nicobar-islands,2019,2,Realme,1012,0.046569416961943
andaman-&-nicobar-islands,2019,2,OnePlus,950,0.043716349914868
andaman-&-nicobar-islands,2019,2,Huawei,644,0.029635083521236
andaman-&-nicobar-islands,2019,2,Motorola,630,0.028990842575123
andaman-&-nicobar-islands,2019,2,Apple,569,0.026183792738484
andaman-&-nicobar-islands,2019,2,Lenovo,477,0.021950209378307
andaman-&-nicobar-islands,2019,2,Others,1981,0.091160093875109
andaman-&-nicobar-islands,2019,3,Xiaomi,5819,0.243157410889641
andaman-&-nicobar-islands,2019,3,Vivo,4685,0.195771175462788
andaman-&-nicobar-islands,2019,3,Samsung,4508,0.188374911203042
andaman-&-nicobar-islands,2019,3,Oppo,2108,0.088086582257323
andaman-&-nicobar-islands,2019,3,Realme,1158,0.048389118716309
andaman-&-nicobar-islands,2019,3,OnePlus,1045,0.043667209895115
andaman-&-nicobar-islands,2019,3,Huawei,725,0.030295432702352
andaman-&-nicobar-islands,2019,3,Motorola,660,0.027579290460072
andaman-&-nicobar-islands,2019,3,Apple,630,0.026325686348251
andaman-&-nicobar-islands,2019,3,Lenovo,483,0.020183026200325
andaman-&-nicobar-islands,2019,3,Others,2110,0.088170155864777
andaman-&-nicobar-islands,2019,4,Xiaomi,6259,0.241101694915254
andaman-&-nicobar-islands,2019,4,Vivo,5190,0.199922958397534
andaman-&-nicobar-islands,2019,4,Samsung,4900,0.188751926040061
